1125,232,7160,85.9,8905,1.5563
920,268,8804,86.5,7388,0.8976
835,271,8108,85.2,5348,0.7482
1000,237,6370,83.8,8056,0.716
1150,192,6441,82.1,6960,0.313
990,202,5154,79.2,5690,0.3617
840,184,5896,81.2,6932,0.1139
650,200,5336,80.6,5400,0.1139
640,180,5041,78.4,3177,-0.2218
583,165,5012,79.3,4461,-0.1549
570,151,4825,78.7,3901,0
570,171,4391,78,5002,0
510,243,4320,72.3,4665,-0.0969
555,147,3709,74.9,4642,-0.2218
460,286,3969,74.4,4840,-0.3979
275,198,3558,72.5,4479,-0.1549
510,196,4361,57.7,4200,-0.2218
165,210,3301,71.8,3410,-0.3979
244,327,2964,72.5,3360,-0.5229
79,334,2777,71.9,2599,-0.0458
